confidence	sample	iteration	decoder	noise	low_confidence
99	SRR6750051	first	3	16592155	9243390
99	SRR6750051	second	3	16592459	9375002
99	SRR6750052	first	1	39491675	7296044
99	SRR6750052	second	1	39498603	8931727
99	SRR6750052	first	2	21737174	7106783
99	SRR6750052	second	2	21737843	7337105
99	SRR6750052	first	3	10917741	8705498
99	SRR6750052	second	3	10918003	8803778
99	SRR6750053	first	1	55312361	8901301
99	SRR6750053	second	1	55325492	11109823
99	SRR6750053	first	2	31489228	8321605
99	SRR6750053	second	2	31490010	8600300
99	SRR6750053	first	3	16164120	10543365
99	SRR6750053	second	3	16165008	10674553
99	SRR6750054	first	1	52792425	8194944
99	SRR6750054	second	1	52799907	10192357
99	SRR6750054	first	2	29389325	8033669
99	SRR6750054	second	2	29389980	8417813
99	SRR6750054	first	3	14575105	9733323
99	SRR6750054	second	3	14575434	9860651
99	SRR6750055	first	1	52068649	7296800
99	SRR6750055	second	1	52077542	9287529
99	SRR6750055	first	2	29681336	7395520
99	SRR6750055	second	2	29682187	7897521
99	SRR6750055	first	3	14775312	8419707
99	SRR6750055	second	3	14775537	8538927
99	SRR6750056	first	1	60977964	9446557
99	SRR6750056	second	1	60979785	11947188
99	SRR6750056	first	2	33921912	9398537
99	SRR6750056	second	2	33929009	9891966
99	SRR6750056	first	3	16703582	11484647
99	SRR6750056	second	3	16707021	11629131
99	SRR6750057	first	1	57421957	9825852
99	SRR6750057	second	1	57429312	11834580
99	SRR6750057	first	2	30509437	9972827
99	SRR6750057	second	2	30610035	10437752
99	SRR6750057	first	3	14956331	12352720
99	SRR6750057	second	3	14981830	12466939
99	SRR6750058	first	1	77430663	10152669
99	SRR6750058	second	1	77491074	12947053
99	SRR6750058	first	2	44470130	11594231
99	SRR6750058	second	2	44472347	12779599
99	SRR6750058	first	3	23814939	10110678
99	SRR6750058	second	3	23816708	10334598
99	SRR6750059	first	1	84446576	12474673
99	SRR6750059	second	1	84538034	15136386
99	SRR6750059	first	2	46430581	13445046
99	SRR6750059	second	2	46651808	14305193
99	SRR6750059	first	3	26943450	10803156
99	SRR6750059	second	3	26980104	11210237
999	SRR6750041	first	1	21501404	4631169
999	SRR6750041	second	1	21581361	9301142
999	SRR6750041	first	2	11612351	4220340
999	SRR6750041	second	2	11876086	6043182
999	SRR6750041	first	3	5810502	4553044
999	SRR6750041	second	3	5898457	4783585
999	SRR6750042	first	1	49493639	9652991
999	SRR6750042	second	1	49500199	20312779
999	SRR6750042	first	2	28126941	8843754
999	SRR6750042	second	2	28127448	9011020
999	SRR6750042	first	3	13737418	9908804
999	SRR6750042	second	3	13737647	9908748
999	SRR6750043	first	1	52038815	9826241
999	SRR6750043	second	1	52045944	25317020
999	SRR6750043	first	2	29529403	9344876
999	SRR6750043	second	2	29530341	9492589
999	SRR6750043	first	3	14730282	10274299
999	SRR6750043	second	3	14730934	10274488
999	SRR6750044	first	1	58599995	10425997
999	SRR6750044	second	1	58608139	33505297
999	SRR6750044	first	2	32900151	10047974
999	SRR6750044	second	2	32900952	10246904
999	SRR6750044	first	3	15491660	10980700
999	SRR6750044	second	3	15491955	10981267
999	SRR6750045	first	1	44214808	9407700
999	SRR6750045	second	1	44223171	18667244
999	SRR6750045	first	2	25033340	8539534
999	SRR6750045	second	2	25033852	8688689
999	SRR6750045	first	3	12713913	9894824
999	SRR6750045	second	3	12714211	9894649
999	SRR6750046	first	1	45557194	9501456
999	SRR6750046	second	1	45566101	20279439
999	SRR6750046	first	2	25235459	8506690
999	SRR6750046	second	2	25236029	8660170
999	SRR6750046	first	3	12541174	9893998
999	SRR6750046	second	3	12541381	9893942
999	SRR6750047	first	1	39899720	9356179
999	SRR6750047	second	1	39906916	16041748
999	SRR6750047	first	2	22212690	8265445
999	SRR6750047	second	2	22213390	8416006
999	SRR6750047	first	3	11090632	9726603
999	SRR6750047	second	3	11090888	9726445
999	SRR6750048	first	1	49494293	9597992
999	SRR6750048	second	1	49501634	21920007
999	SRR6750048	first	2	27357319	8855024
999	SRR6750048	second	2	27357902	8997734
999	SRR6750048	first	3	12890128	9806625
999	SRR6750048	second	3	12890390	9806491
999	SRR6750049	first	1	46456015	8426336
999	SRR6750049	second	1	46462824	20167046
999	SRR6750049	first	2	27164613	7646199
